,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Respect,Definitive Soul: Aretha Franklin,Aretha Franklin,1985,142839,0,0.819,0.15,0.819,0.537,0.000218,0.0871,-5.223,0.0414,115.086,4
1,"Trouble - Recorded live at KBCO, Oct 2004","Trouble (Recorded live at KBCO, Oct 2004)",Ray LaMontagne,2006-07-17,251093,0,0.441,0.542,0.441,0.489,2.66e-06,0.114,-9.484,0.03,112.739,4
2,No Scrubs,Fanmail,TLC,1999-02-23,214400,79,0.743,0.0251,0.743,0.675,0.000717,0.0685,-4.267,0.0953,92.909,4
3,The Motto,Take Care (Deluxe),Drake,2011-11-15,181573,73,0.766,0.000107,0.766,0.442,6.12e-05,0.111,-8.558,0.356,201.8,4
4,HYFR (Hell Ya Fucking Right),Take Care (Deluxe),Drake,2011-11-15,206626,69,0.444,0.123,0.444,0.627,0.0,0.0795,-8.744,0.252,98.21,3
5,She Doesn't Mind,Absolute Kids,Various Artists,2012-03-12,227786,0,0.718,0.000624,0.718,0.776,5.3e-06,0.207,-5.208,0.0693,120.015,4
6,I Fink U Freeky,TEN$ION,Die Antwoord,2012-01-30,280920,0,0.847,0.022,0.847,0.753,1.57e-05,0.628,-6.499,0.222,129.973,4
7,Skinny Love,"For Emma, Forever Ago",Bon Iver,2007-07-08,238520,0,0.59,0.85,0.59,0.26,4.59e-06,0.117,-14.065,0.0484,77.118,4
8,Dog Days Are Over,Between Two Lungs,Florence + The Machine,2010-01-01,252818,4,0.494,0.0363,0.494,0.831,0.00345,0.119,-5.151,0.0996,150.248,4
9,I Try,I Try: The Macy Gray Collection,Macy Gray,2008-10-10,238066,0,0.559,0.304,0.559,0.637,0.000195,0.0783,-7.495,0.0321,152.885,4
10,Over My Dead Body,Take Care (Deluxe),Drake,2011-11-15,272573,62,0.489,0.759,0.489,0.57,2.1e-06,0.179,-10.291,0.306,185.516,4
11,Headlines,Take Care (Deluxe),Drake,2011-11-15,235986,73,0.636,0.365,0.636,0.566,0.000353,0.0917,-7.16,0.106,151.894,4
12,Under Ground Kings,Take Care (Deluxe),Drake,2011-11-15,212613,61,0.487,5.2e-05,0.487,0.712,0.0,0.198,-7.323,0.27,156.209,4
13,Practice,Take Care (Deluxe),Drake,2011-11-15,237733,62,0.446,0.574,0.446,0.239,7.76e-05,0.12,-15.327,0.0876,104.675,4
14,The Ride,Take Care (Deluxe),Drake,2011-11-15,351000,55,0.556,0.517,0.556,0.702,0.0,0.343,-10.079,0.205,155.948,4
15,No One Knows,Songs For The Deaf,Queens of the Stone Age,2002-01-01,278746,0,0.509,0.0368,0.509,0.584,9.96e-05,0.384,-4.907,0.057,170.411,4
16,Where Did You Sleep Last Night,MTV Unplugged In New York,Nirvana,1994-11-01,308306,0,0.559,0.668,0.559,0.565,0.000315,0.272,-8.534,0.0498,108.241,3
17,Heart-Shaped Box,In Utero (Explicit Version),Nirvana,1993-09-21,281533,0,0.491,0.0818,0.491,0.718,0.0359,0.0859,-9.554,0.0458,99.876,4
18,Ride Wit Me,Country Grammar,Nelly,2000-06-27,291781,1,0.854,0.0668,0.854,0.692,0.0,0.247,-6.625,0.0479,101.865,4
19,If I Can't,Get Rich Or Die Tryin',50 Cent,2003-02-06,196626,67,0.886,0.265,0.886,0.626,0.0,0.024,-2.528,0.277,93.989,4
